label_disease_nm,gender,age,breed,eye_position,age_mean
안검염,암컷,0,노르웨이 숲,오른쪽눈,0.0
안검염,암컷,0,노르웨이 숲,왼쪽눈,0.0
안검염,암컷,0,노르웨이 숲,오른쪽눈,0.0
안검염,암컷,0,노르웨이 숲,오른쪽눈,0.0
안검염,암컷,0,노르웨이 숲,오른쪽눈,0.0
안검염,암컷,0,노르웨이 숲,오른쪽눈,0.0
안검염,암컷,0,노르웨이 숲,왼쪽눈,0.0
안검염,수컷,0,노르웨이 숲,오른쪽눈,0.0
안검염,수컷,0,노르웨이 숲,오른쪽눈,0.0
안검염,암컷,0,노르웨이 숲,왼쪽눈,0.0
안검염,수컷,5,데본 렉스,왼쪽눈,3.56
안검염,수컷,5,데본 렉스,왼쪽눈,3.56
안검염,수컷,0,데본 렉스,오른쪽눈,3.56
안검염,수컷,5,데본 렉스,왼쪽눈,3.56
안검염,수컷,5,데본 렉스,왼쪽눈,3.56
안검염,수컷,0,데본 렉스,왼쪽눈,3.56
안검염,암컷,3,데본 렉스,왼쪽눈,3.56
안검염,수컷,0,데본 렉스,왼쪽눈,3.56
안검염,수컷,5,데본 렉스,왼쪽눈,3.56
안검염,수컷,5,데본 렉스,오른쪽눈,3.56
안검염,수컷,5,데본 렉스,왼쪽눈,3.56
안검염,암컷,3,데본 렉스,왼쪽눈,3.56
안검염,암컷,3,데본 렉스,오른쪽눈,3.56
안검염,암컷,3,데본 렉스,오른쪽눈,3.56
안검염,암컷,3,데본 렉스,오른쪽눈,3.56
안검염,수컷,5,데본 렉스,왼쪽눈,3.56
안검염,수컷,5,데본 렉스,오른쪽눈,3.56
안검염,암컷,3,데본 렉스,왼쪽눈,3.56
안검염,암컷,3,데본 렉스,오른쪽눈,3.56
안검염,수컷,5,데본 렉스,오른쪽눈,3.56
안검염,수컷,0,데본 렉스,오른쪽눈,3.56
안검염,수컷,6,데본 렉스,왼쪽눈,3.56
안검염,수컷,6,데본 렉스,오른쪽눈,3.56
안검염,수컷,0,데본 렉스,오른쪽눈,3.56
안검염,수컷,6,데본 렉스,오른쪽눈,3.56
안검염,수컷,0,랙돌,오른쪽눈,3.0
안검염,암컷,4,랙돌,왼쪽눈,3.0
안검염,암컷,4,랙돌,오른쪽눈,3.0
안검염,암컷,4,랙돌,왼쪽눈,3.0
안검염,수컷,0,랙돌,오른쪽눈,3.0
안검염,수컷,4,랙돌,왼쪽눈,3.0
안검염,수컷,4,랙돌,오른쪽눈,3.0
안검염,수컷,1,랙돌,오른쪽눈,3.0
안검염,수컷,4,랙돌,왼쪽눈,3.0
안검염,수컷,4,랙돌,왼쪽눈,3.0
안검염,수컷,4,랙돌,오른쪽눈,3.0
안검염,암컷,4,랙돌,오른쪽눈,3.0
안검염,암컷,4,랙돌,왼쪽눈,3.0
안검염,수컷,4,랙돌,오른쪽눈,3.0
안검염,수컷,4,랙돌,왼쪽눈,3.0
안검염,수컷,1,랙돌,오른쪽눈,3.0
안검염,암컷,4,랙돌,왼쪽눈,3.0
안검염,수컷,4,랙돌,왼쪽눈,3.0
안검염,수컷,1,랙돌,오른쪽눈,3.0
안검염,수컷,1,랙돌,왼쪽눈,3.0
안검염,수컷,10,러시안 블루,왼쪽눈,3.68
안검염,수컷,0,러시안 블루,오른쪽눈,3.68
안검염,암컷,6,러시안 블루,왼쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,수컷,10,러시안 블루,왼쪽눈,3.68
안검염,암컷,6,러시안 블루,왼쪽눈,3.68
안검염,수컷,10,러시안 블루,왼쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,암컷,2,러시안 블루,오른쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,수컷,12,러시안 블루,왼쪽눈,3.68
안검염,수컷,10,러시안 블루,오른쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,수컷,10,러시안 블루,왼쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,수컷,10,러시안 블루,왼쪽눈,3.68
안검염,암컷,2,러시안 블루,오른쪽눈,3.68
안검염,암컷,5,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,오른쪽눈,3.68
안검염,암컷,5,러시안 블루,왼쪽눈,3.68
안검염,암컷,2,러시안 블루,왼쪽눈,3.68
안검염,수컷,2,러시안 블루,왼쪽눈,3.68
안검염,암컷,3,러시안 블루,오른쪽눈,3.68
안검염,암컷,5,러시안 블루,오른쪽눈,3.68
안검염,암컷,5,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,5,러시안 블루,오른쪽눈,3.68
안검염,암컷,5,러시안 블루,오른쪽눈,3.68
안검염,암컷,3,러시안 블루,오른쪽눈,3.68
안검염,암컷,3,러시안 블루,오른쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,암컷,1,러시안 블루,오른쪽눈,3.68
안검염,수컷,7,러시안 블루,오른쪽눈,3.68
안검염,암컷,4,러시안 블루,오른쪽눈,3.68
안검염,암컷,2,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,오른쪽눈,3.68
안검염,암컷,4,러시안 블루,왼쪽눈,3.68
안검염,암컷,2,러시안 블루,왼쪽눈,3.68
안검염,암컷,6,러시안 블루,왼쪽눈,3.68
안검염,수컷,2,러시안 블루,왼쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,암컷,2,러시안 블루,오른쪽눈,3.68
안검염,암컷,3,러시안 블루,오른쪽눈,3.68
안검염,암컷,1,러시안 블루,오른쪽눈,3.68
안검염,암컷,4,러시안 블루,오른쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,4,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,오른쪽눈,3.68
안검염,암컷,2,러시안 블루,왼쪽눈,3.68
안검염,암컷,3,러시안 블루,왼쪽눈,3.68
안검염,암컷,0,러시안 블루,오른쪽눈,3.68
안검염,암컷,6,러시안 블루,왼쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,암컷,5,러시안 블루,왼쪽눈,3.68
안검염,암컷,2,러시안 블루,왼쪽눈,3.68
안검염,수컷,2,러시안 블루,왼쪽눈,3.68
안검염,암컷,4,러시안 블루,오른쪽눈,3.68
안검염,수컷,2,러시안 블루,왼쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,수컷,2,러시안 블루,오른쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,6,러시안 블루,왼쪽눈,3.68
안검염,암컷,4,러시안 블루,오른쪽눈,3.68
안검염,암컷,4,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,오른쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,암컷,5,러시안 블루,왼쪽눈,3.68
안검염,수컷,2,러시안 블루,왼쪽눈,3.68
안검염,수컷,7,러시안 블루,오른쪽눈,3.68
안검염,암컷,5,러시안 블루,왼쪽눈,3.68
안검염,암컷,4,러시안 블루,왼쪽눈,3.68
안검염,수컷,2,러시안 블루,오른쪽눈,3.68
안검염,암컷,6,러시안 블루,왼쪽눈,3.68
안검염,암컷,4,러시안 블루,왼쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,3,러시안 블루,왼쪽눈,3.68
안검염,암컷,3,러시안 블루,오른쪽눈,3.68
안검염,암컷,5,러시안 블루,오른쪽눈,3.68
안검염,암컷,2,러시안 블루,오른쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,2,러시안 블루,왼쪽눈,3.68
안검염,암컷,3,러시안 블루,오른쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,암컷,6,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,오른쪽눈,3.68
안검염,암컷,4,러시안 블루,왼쪽눈,3.68
안검염,암컷,2,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,오른쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,5,러시안 블루,왼쪽눈,3.68
안검염,수컷,2,러시안 블루,왼쪽눈,3.68
안검염,수컷,2,러시안 블루,오른쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,암컷,5,러시안 블루,오른쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,3,러시안 블루,왼쪽눈,3.68
안검염,암컷,0,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,왼쪽눈,3.68
안검염,암컷,6,러시안 블루,오른쪽눈,3.68
안검염,암컷,4,러시안 블루,왼쪽눈,3.68
안검염,암컷,5,러시안 블루,오른쪽눈,3.68
안검염,암컷,5,러시안 블루,왼쪽눈,3.68
안검염,암컷,1,러시안 블루,오른쪽눈,3.68
안검염,암컷,2,러시안 블루,왼쪽눈,3.68
안검염,암컷,0,러시안 블루,왼쪽눈,3.68
안검염,수컷,1,러시안 블루,왼쪽눈,3.68
안검염,수컷,1,러시안 블루,오른쪽눈,3.68
안검염,암컷,0,러시안 블루,오른쪽눈,3.68
안검염,수컷,1,러시안 블루,오른쪽눈,3.68
안검염,수컷,0,먼치킨,왼쪽눈,2.52
안검염,수컷,0,먼치킨,오른쪽눈,2.52
안검염,수컷,0,먼치킨,왼쪽눈,2.52
안검염,암컷,2,먼치킨,왼쪽눈,2.52
안검염,수컷,3,먼치킨,오른쪽눈,2.52
안검염,수컷,0,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,3,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,3,먼치킨,왼쪽눈,2.52
안검염,수컷,3,먼치킨,왼쪽눈,2.52
안검염,수컷,0,먼치킨,왼쪽눈,2.52
안검염,수컷,0,먼치킨,왼쪽눈,2.52
안검염,수컷,3,먼치킨,왼쪽눈,2.52
안검염,암컷,2,먼치킨,오른쪽눈,2.52
안검염,수컷,0,먼치킨,오른쪽눈,2.52
안검염,수컷,0,먼치킨,왼쪽눈,2.52
안검염,수컷,0,먼치킨,오른쪽눈,2.52
안검염,암컷,2,먼치킨,오른쪽눈,2.52
안검염,수컷,0,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,오른쪽눈,2.52
안검염,암컷,4,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,오른쪽눈,2.52
안검염,수컷,5,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,암컷,9,먼치킨,오른쪽눈,2.52
안검염,암컷,9,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,오른쪽눈,2.52
안검염,암컷,4,먼치킨,오른쪽눈,2.52
안검염,암컷,4,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,오른쪽눈,2.52
안검염,암컷,4,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,오른쪽눈,2.52
안검염,암컷,4,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,0,먼치킨,왼쪽눈,2.52
안검염,암컷,9,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,오른쪽눈,2.52
안검염,암컷,9,먼치킨,왼쪽눈,2.52
안검염,암컷,4,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,암컷,9,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,오른쪽눈,2.52
안검염,수컷,5,먼치킨,왼쪽눈,2.52
안검염,암컷,9,먼치킨,왼쪽눈,2.52
안검염,암컷,1,먼치킨,왼쪽눈,2.52
안검염,암컷,9,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,암컷,4,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,오른쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,수컷,1,먼치킨,왼쪽눈,2.52
안검염,암컷,9,먼치킨,오른쪽눈,2.52
안검염,수컷,3,먼치킨,왼쪽눈,2.52
안검염,수컷,3,먼치킨,오른쪽눈,2.52
안검염,수컷,1,메인 쿤,왼쪽눈,1.0
안검염,암컷,1,벵갈,오른쪽눈,1.46
안검염,수컷,0,벵갈,오른쪽눈,1.46
안검염,수컷,1,벵갈,오른쪽눈,1.46
안검염,수컷,2,벵갈,오른쪽눈,1.46
안검염,수컷,2,벵갈,왼쪽눈,1.46
안검염,암컷,4,벵갈,오른쪽눈,1.46
안검염,수컷,0,벵갈,왼쪽눈,1.46
안검염,암컷,4,벵갈,왼쪽눈,1.46
안검염,수컷,0,벵갈,오른쪽눈,1.46
안검염,수컷,2,벵갈,왼쪽눈,1.46
안검염,암컷,4,벵갈,왼쪽눈,1.46
안검염,수컷,1,벵갈,왼쪽눈,1.46
안검염,암컷,1,벵갈,오른쪽눈,1.46
안검염,수컷,1,벵갈,오른쪽눈,1.46
안검염,수컷,0,벵갈,오른쪽눈,1.46
안검염,수컷,2,벵갈,왼쪽눈,1.46
안검염,수컷,2,벵갈,왼쪽눈,1.46
안검염,암컷,4,벵갈,오른쪽눈,1.46
안검염,암컷,1,벵갈,왼쪽눈,1.46
안검염,수컷,2,벵갈,오른쪽눈,1.46
안검염,수컷,0,벵갈,왼쪽눈,1.46
안검염,수컷,0,벵갈,왼쪽눈,1.46
안검염,수컷,2,벵갈,오른쪽눈,1.46
안검염,수컷,2,벵갈,오른쪽눈,1.46
안검염,암컷,4,벵갈,왼쪽눈,1.46
안검염,암컷,4,벵갈,오른쪽눈,1.46
안검염,수컷,2,벵갈,오른쪽눈,1.46
안검염,수컷,2,벵갈,왼쪽눈,1.46
안검염,수컷,0,벵갈,오른쪽눈,1.46
안검염,수컷,2,벵갈,왼쪽눈,1.46
안검염,수컷,2,벵갈,오른쪽눈,1.46
안검염,수컷,0,벵갈,왼쪽눈,1.46
안검염,수컷,0,벵갈,왼쪽눈,1.46
안검염,수컷,0,벵갈,왼쪽눈,1.46
안검염,수컷,0,벵갈,오른쪽눈,1.46
안검염,수컷,0,벵갈,왼쪽눈,1.46
안검염,수컷,0,벵갈,오른쪽눈,1.46
안검염,암컷,2,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,2,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,6,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,6,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,6,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,0,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,11,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,7,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,11,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,암컷,0,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,11,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,5,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,11,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,왼쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,수컷,1,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,0,브리티쉬 숏헤어,오른쪽눈,2.06
안검염,암컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,9,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,9,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,9,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,9,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,3,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,0,샴(샤미즈),오른쪽눈,3.12
안검염,수컷,1,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,6,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,6,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,6,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,1,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,6,샴(샤미즈),오른쪽눈,3.12
안검염,수컷,1,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,6,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,1,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,6,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,6,샴(샤미즈),왼쪽눈,3.12
안검염,암컷,6,샴(샤미즈),오른쪽눈,3.12
안검염,암컷,6,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,1,샴(샤미즈),왼쪽눈,3.12
안검염,수컷,0,샴(샤미즈),오른쪽눈,3.12
